Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2,Price,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B,DistrictId_counts,AverageSquareMeterPrice
2301,1,2.0,61.400055,65.2246,3.0,17,22.0,2016,0.007122317,B,B,1,264,0,,0,1,B,199215.45,0,1,0,1,0,1,652,3212.334
6455,44,1.0,31.893484,20.94667,7.0,3,14.0,1973,0.17505486,B,B,36,10055,3,,1,0,B,182946.36,0,1,0,1,0,1,104,4572.484
16334,1,1.0,42.414177,32.78126,3.0,14,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,156476.61,0,1,0,1,0,1,652,3212.334
3963,48,3.0,60.496735,38.70193,6.0,4,9.0,1980,0.041124634,B,B,46,9515,5,,1,10,B,276349.9,0,1,0,1,0,1,90,5031.626
10065,5,2.0,54.477432,31.149445,7.0,14,22.0,1991,0.15081754,B,B,16,3433,4,2643.0,4,5,B,279119.9,0,1,0,1,0,1,34,4702.9775
3203,23,2.0,56.2187,32.78126,3.0,3,3.0,1977,0.005767451,B,B,1,388,0,,0,0,B,90303.664,0,1,0,1,0,1,565,2284.1086
1982,28,1.0,38.007935,23.281713,9.0,1,12.0,1970,0.11853738,B,B,30,6207,1,1183.0,1,0,B,147636.77,0,1,0,1,0,1,79,4373.9766
12393,11,2.0,57.322495,31.788006,10.0,5,16.0,1980,0.000169676,B,B,36,5992,0,,1,1,B,242402.23,0,1,0,1,0,1,129,4055.9749
16601,88,2.0,47.317528,31.100517,6.0,6,12.0,1975,0.1273759,B,B,43,8429,3,,3,9,B,207641.67,0,1,0,1,0,1,64,4330.6064
4191,1,2.0,65.023895,32.78126,3.0,10,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,197343.8,0,1,0,1,0,1,652,3212.334
7619,47,2.0,54.787323,33.512142,8.0,1,12.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,100471.95,0,1,0,1,0,1,97,4116.345
7605,6,1.0,42.50553,32.78126,3.0,6,12.0,2014,0.24320452,B,B,5,1564,0,540.0,0,0,B,113617.22,0,1,0,1,0,1,511,2905.763
9723,52,2.0,64.14115,32.78126,3.0,5,17.0,1977,0.371149,B,B,34,7065,1,750.0,2,5,B,158148.94,0,1,0,1,0,1,143,3089.185
11398,62,1.0,41.194187,32.78126,3.0,6,1.0,1977,0.072157584,B,B,2,629,1,,0,0,A,114063.09,0,1,0,1,1,0,247,2818.7493
3759,31,2.0,57.955975,32.27258,9.0,17,17.0,2001,0.15134622,B,A,32,5889,10,830.0,4,1,B,339414.56,0,1,1,0,0,1,55,5432.5786
8443,57,2.0,45.96489,29.141212,5.0,7,5.0,1963,0.13321534,B,B,49,11395,3,1406.0,3,4,A,180538.9,0,1,0,1,1,0,107,4084.4644
1063,77,1.0,42.678844,23.918634,8.0,14,12.0,1983,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,179784.47,0,1,0,1,0,1,40,4287.9204
6925,27,2.0,64.9291,63.304604,10.0,15,17.0,2016,0.072157584,B,B,2,629,1,,0,0,A,228584.0,0,1,0,1,1,0,851,2766.0232
10362,27,2.0,79.22705,32.78126,3.0,9,1.0,1977,0.072157584,B,B,2,629,1,,0,0,A,167023.97,0,1,0,1,1,0,851,2766.0232
2136,74,2.0,84.68773,81.90555,3.0,12,17.0,2017,0.07577875,B,B,6,1437,3,,0,2,B,243479.88,0,1,0,1,0,1,114,3355.343
14675,74,1.0,52.45759,52.423344,3.0,18,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,160292.16,0,1,0,1,0,1,114,3355.343
9413,79,1.0,39.429665,18.519733,9.0,2,16.0,1981,0.16909109,B,B,19,3856,10,,2,5,B,174952.64,0,1,0,1,0,1,42,4226.2217
4014,6,2.0,63.18442,61.142895,3.0,17,17.0,2016,0.24320452,B,B,5,1564,0,540.0,0,0,B,190762.98,0,1,0,1,0,1,511,2905.763
12246,9,1.0,50.299168,24.349604,9.0,11,16.0,2006,0.13624443,B,B,11,2370,0,,0,1,B,197101.05,0,1,0,1,0,1,294,3266.0254
14020,34,1.0,47.90933,42.782387,3.0,2,1.0,2016,0.069753364,B,B,53,13670,4,,1,11,B,181167.64,0,1,0,1,0,1,111,4338.7114
2435,85,4.0,65.55984,47.696255,6.0,6,9.0,1976,0.03717782,B,B,52,11217,1,2300.0,1,7,B,266989.03,0,1,0,1,0,1,76,4134.228
7758,156,1.0,39.248928,21.592325,7.0,13,17.0,2009,0.007658515,B,B,35,7077,56,2301.0,3,19,B,254236.33,0,1,0,1,0,1,10,5960.736
12162,69,1.0,39.252556,19.39425,7.0,1,16.0,1985,0.000991363,B,B,33,6783,3,,1,9,B,184737.92,0,1,0,1,0,1,29,5355.9272
15600,108,2.0,49.88874,31.603651,6.0,9,12.0,1974,0.0,B,B,23,3684,2,,0,4,B,261086.03,0,1,0,1,0,1,27,5710.6562
6832,96,2.0,62.78381,35.222366,10.0,5,10.0,1994,0.041116353,B,B,53,14892,4,,1,4,B,259293.02,0,1,0,1,0,1,71,3987.2205
2952,169,2.0,58.43361,31.086988,8.0,3,14.0,1970,0.21047324,B,B,11,2398,2,1994.0,3,0,B,116661.59,0,1,0,1,0,1,22,4666.27
2855,18,2.0,61.71855,33.040115,10.0,10,11.0,2000,0.0,B,B,30,5562,0,,0,5,A,267609.8,0,1,0,1,1,0,51,3884.1936
7488,21,1.0,42.501225,22.915735,8.0,2,12.0,1979,0.19448927,B,B,47,8004,3,125.0,3,5,B,153038.22,0,1,0,1,0,1,165,4084.277
11248,27,2.0,54.583233,33.3203,11.0,2,9.0,2000,0.041116353,B,B,53,14892,4,,1,4,B,238779.45,0,1,0,1,0,1,851,2766.0232
9613,148,3.0,127.48158,32.78126,3.0,16,1.0,2012,0.31392455,B,B,22,4625,11,3855.0,2,10,B,510700.44,0,1,0,1,0,1,11,4587.109
16674,94,2.0,47.145626,30.738285,5.0,11,9.0,1976,0.1273759,B,B,43,8429,3,,3,9,B,210364.31,0,1,0,1,0,1,89,4194.537
3918,41,2.0,48.07704,28.835117,5.0,5,9.0,1968,0.17505486,B,B,36,10055,3,,1,0,B,198183.08,0,1,0,1,0,1,87,4293.4805
11902,128,2.0,52.082184,34.01706,8.0,7,17.0,1994,0.0,B,B,27,4798,0,30.0,2,8,B,243824.8,0,1,0,1,0,1,64,4312.128
13395,10,2.0,50.29076,32.460808,6.0,12,12.0,1973,0.08903972,B,B,33,7976,5,,0,11,B,242107.1,0,1,0,1,0,1,56,4377.498
1836,144,2.0,49.03079,31.918896,8.0,2,5.0,1964,0.30697748,B,B,27,5148,14,1575.0,5,7,B,212786.0,0,1,0,1,0,1,20,4525.4346
1671,120,3.0,58.57037,37.434128,5.0,4,5.0,1961,0.34107193,B,B,27,5664,48,2300.0,3,11,B,305732.6,0,1,0,1,0,1,26,4736.922
9558,39,1.0,34.19821,20.981127,6.0,7,9.0,1973,0.42882583,B,B,25,5011,8,730.0,0,2,B,156375.02,0,1,0,1,0,1,57,4089.0112
13887,7,3.0,74.971054,46.239246,10.0,16,17.0,1987,0.0,B,B,23,5067,4,,2,6,B,415398.56,0,1,0,1,0,1,92,4489.8193
4280,34,2.0,61.33497,10.0,3.0,26,1.0,2014,0.069753364,B,B,53,13670,4,,1,11,B,286564.44,0,1,0,1,0,1,111,4338.7114
14319,27,2.0,58.93728,34.74007,11.0,2,7.0,1998,0.041116353,B,B,53,14892,4,,1,4,B,217349.25,0,1,0,1,0,1,851,2766.0232
13671,84,3.0,63.728237,38.960934,6.0,9,9.0,1971,0.14966637,B,B,22,4789,2,4087.0,4,1,B,291058.1,0,1,0,1,0,1,80,4142.9463
9753,23,1.0,41.8457,32.78126,3.0,14,17.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,110620.63,0,1,0,1,0,1,565,2284.1086
13577,61,1.0,33.646713,21.423553,5.0,8,9.0,1975,0.30032253,B,B,52,10311,6,,1,9,B,165018.95,0,1,0,1,0,1,118,4344.9434
14756,1,1.0,50.617767,46.505676,3.0,10,24.0,1977,0.007122317,B,B,1,264,0,,0,1,B,175188.95,0,1,0,1,0,1,652,3212.334
3973,1,2.0,62.969902,31.745611,10.0,14,14.0,2014,0.007122317,B,B,1,264,0,,0,1,B,92127.06,0,1,0,1,0,1,652,3212.334
13957,123,2.0,58.91192,33.61224,9.0,12,17.0,2005,0.0,B,B,47,11319,0,1145.0,3,5,B,274570.72,0,1,0,1,0,1,32,4522.871
11765,23,2.0,48.76013,32.78126,3.0,3,3.0,1977,0.03465608,B,B,0,168,0,,0,0,B,113250.43,0,1,0,1,0,1,565,2284.1086
2930,9,2.0,62.347153,32.78126,3.0,6,1.0,1977,0.16153175,B,B,25,5648,1,30.0,2,4,B,184172.97,0,1,0,1,0,1,294,3266.0254
6496,1,2.0,53.18797,34.8205,8.0,7,17.0,1990,0.025609156,B,B,33,5261,0,240.0,3,1,B,241419.6,0,1,0,1,0,1,652,3212.334
8361,57,3.0,64.0151,43.842854,6.0,10,12.0,1984,0.13321534,B,B,49,11395,3,1406.0,3,4,A,270071.62,0,1,0,1,1,0,107,4084.4644
9970,159,3.0,61.80902,40.444725,6.0,2,9.0,1972,0.015016892,B,B,17,3079,59,2890.0,0,8,B,378581.53,0,1,0,1,0,1,6,5249.739
3276,27,2.0,62.224567,58.503986,3.0,8,17.0,2016,0.017647052,B,B,2,469,0,,0,0,B,192625.05,0,1,0,1,0,1,851,2766.0232
6761,70,2.0,45.592915,27.27846,6.0,3,9.0,1981,0.002211665,B,B,39,7614,3,,1,5,A,201121.08,0,1,0,1,1,0,27,4815.031
11448,39,1.0,35.68306,18.662235,7.0,12,12.0,1977,0.42882583,B,B,25,5011,8,730.0,0,2,B,150513.47,0,1,0,1,0,1,57,4089.0112
12428,94,2.0,39.900425,26.477222,6.0,12,14.0,1982,0.28279766,B,B,33,8667,2,,0,6,B,204804.84,0,1,0,1,0,1,89,4194.537
8583,129,3.0,65.68347,43.53332,7.0,11,12.0,1977,0.020741327,B,B,24,5613,5,1340.0,2,5,B,313452.53,0,1,0,1,0,1,43,4575.016
2516,3,1.0,42.145275,21.304556,10.0,3,14.0,1984,0.26508868,B,B,37,5288,0,1937.0,3,2,B,225889.69,0,1,0,1,0,1,82,3783.7905
14635,95,2.0,42.38957,33.064835,5.0,1,5.0,1963,0.0,B,B,7,1660,39,1786.0,1,5,B,224746.81,0,1,0,1,0,1,15,5552.3555
12377,27,2.0,60.445854,32.78126,3.0,13,1.0,1977,0.072157584,B,B,2,629,1,,0,0,A,213798.19,0,1,0,1,1,0,851,2766.0232
14571,78,1.0,44.57041,19.48574,10.0,18,24.0,2011,0.09229064,B,B,21,4346,2,165.0,1,2,B,212821.67,0,1,0,1,0,1,46,4277.3516
3975,1,2.0,65.00928,32.78126,3.0,9,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,186403.48,0,1,0,1,0,1,652,3212.334
14822,18,3.0,76.23514,47.001816,10.0,9,17.0,1997,0.0,B,B,30,5562,0,,0,5,A,293371.97,0,1,0,1,1,0,51,3884.1936
367,45,1.0,42.36729,40.012527,3.0,16,14.0,2015,0.19578105,B,B,23,5212,6,,3,2,B,250466.98,0,1,0,1,0,1,116,5164.709
9703,15,4.0,98.68671,57.307056,15.0,10,17.0,2008,0.15824905,B,B,21,5731,0,,1,0,B,373510.06,0,1,0,1,0,1,36,3869.548
10935,121,3.0,60.438168,43.96785,5.0,5,5.0,1965,0.21251535,B,B,19,3293,16,628.0,3,7,B,269680.62,0,1,0,1,0,1,25,4858.8335
5267,49,1.0,43.444267,20.70241,8.0,18,17.0,2010,0.020741327,B,B,24,5613,5,1340.0,2,5,B,168601.97,0,1,0,1,0,1,16,4712.67
8753,25,3.0,85.95231,89.80375,3.0,4,3.0,2017,0.069753364,B,B,53,13670,4,,1,11,B,309688.6,0,1,0,1,0,1,77,4104.3984
11279,19,2.0,74.441376,35.64027,9.0,23,25.0,2004,0.000991363,B,B,33,6783,3,,1,9,B,435909.12,0,1,0,1,0,1,31,4232.3115
8691,1,2.0,55.23321,32.78126,3.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,184324.9,0,1,0,1,0,1,652,3212.334
16188,59,2.0,61.502136,33.121426,10.0,5,17.0,1985,0.019508796,B,B,37,7687,11,176.0,5,5,B,354879.4,0,1,0,1,0,1,67,4746.4946
10337,28,2.0,43.771828,33.24217,5.0,3,9.0,1968,0.11853738,B,B,30,6207,1,1183.0,1,0,B,203425.39,0,1,0,1,0,1,79,4373.9766
12087,2,3.0,60.159405,46.354527,5.0,4,9.0,1968,0.30947912,B,B,35,7715,4,990.0,0,6,B,317296.3,0,1,0,1,0,1,78,4560.2046
6072,6,1.0,65.10202,64.622604,3.0,10,9.0,2015,0.24320452,B,B,5,1564,0,540.0,0,0,B,175899.98,0,1,0,1,0,1,511,2905.763
6600,96,1.0,35.99014,18.12583,3.0,1,9.0,1978,0.041116353,B,B,53,14892,4,,1,4,B,155312.3,0,1,0,1,0,1,71,3987.2205
10726,27,3.0,89.69296,87.62382,3.0,13,1.0,1977,0.072157584,B,B,2,629,1,,0,0,A,265978.84,0,1,0,1,1,0,851,2766.0232
3428,108,3.0,110.20397,59.270702,12.0,19,28.0,2007,0.019508796,B,B,37,7687,11,176.0,5,5,B,146061.73,0,1,0,1,0,1,27,5710.6562
15386,127,2.0,45.92367,26.177753,5.0,3,5.0,1967,0.48624563,B,B,13,2514,19,,0,6,B,176480.47,0,1,0,1,0,1,10,4131.8623
12613,6,2.0,65.49667,10.0,3.0,5,17.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,180727.64,0,1,0,1,0,1,511,2905.763
3749,85,1.0,42.198944,20.794836,10.0,16,22.0,1987,0.03717782,B,B,52,11217,1,2300.0,1,7,B,87182.52,0,1,0,1,0,1,76,4134.228
6172,27,2.0,92.40001,92.06924,10.0,2,5.0,1977,0.07542368,B,B,11,3097,0,,0,0,B,116942.67,0,1,0,1,0,1,851,2766.0232
8173,56,1.0,40.812878,23.097887,10.0,10,22.0,1999,0.0,B,B,23,5067,4,,2,6,B,292718.3,0,1,0,1,0,1,34,5416.762
14901,31,2.0,62.301292,30.388569,10.0,11,12.0,2008,0.15134622,B,A,32,5889,10,830.0,4,1,B,427526.0,0,1,1,0,0,1,55,5432.5786
9742,1,2.0,63.67261,32.78126,3.0,11,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B,194510.14,0,1,0,1,0,1,652,3212.334
12256,169,1.0,33.25798,18.181442,5.0,7,9.0,1967,0.1789168,B,B,18,3594,4,192.0,1,5,B,201616.28,0,1,0,1,0,1,22,4666.27
3839,31,3.0,78.471985,52.706825,8.0,6,5.0,1957,0.15134622,B,A,32,5889,10,830.0,4,1,B,419692.97,0,1,1,0,0,1,55,5432.5786
10835,61,2.0,45.586983,34.682384,5.0,5,5.0,1962,0.29820457,B,B,16,4048,3,,1,3,B,177434.77,0,1,0,1,0,1,118,4344.9434
5460,74,1.0,50.145176,32.78126,3.0,8,12.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,171901.1,0,1,0,1,0,1,114,3355.343
13759,109,1.0,40.117363,21.391897,10.0,5,22.0,1982,0.0,B,B,25,5027,4,46.0,1,1,B,239038.6,0,1,0,1,0,1,41,5492.049
14787,34,2.0,60.366627,57.70915,10.0,20,19.0,2017,0.069753364,B,B,53,13670,4,,1,11,B,241737.81,0,1,0,1,0,1,111,4338.7114
9892,62,2.0,71.30476,32.78126,3.0,13,20.0,1977,0.072157584,B,B,2,629,1,,0,0,A,170564.4,0,1,0,1,1,0,247,2818.7493
3287,27,3.0,92.885544,91.64225,13.0,7,17.0,2015,0.072157584,B,B,2,629,1,,0,0,A,206780.55,0,1,0,1,1,0,851,2766.0232
7967,9,1.0,37.470196,21.485798,7.0,12,17.0,1993,0.069753364,B,B,53,13670,4,,1,11,B,187899.22,0,1,0,1,0,1,294,3266.0254
10666,94,1.0,37.985752,20.1421,9.0,8,16.0,1974,0.52186704,B,B,25,6149,0,,0,0,B,137656.12,0,1,0,1,0,1,89,4194.537
8141,46,2.0,69.80461,33.82966,12.0,13,16.0,2014,0.18878376,B,B,31,6137,4,,0,1,B,465067.06,0,1,0,1,0,1,119,4439.8765
11417,17,1.0,40.090755,22.393898,8.0,6,16.0,1980,0.09344257,B,B,23,4635,5,3300.0,2,4,B,145941.56,0,1,0,1,0,1,59,5200.604
14141,23,2.0,57.69962,32.78126,10.0,2,1.0,1977,0.03465608,B,B,0,168,0,,0,0,B,114168.53,0,1,0,1,0,1,565,2284.1086
9870,62,1.0,51.831474,53.491302,3.0,5,1.0,2015,0.072157584,B,B,2,629,1,,0,0,A,131797.47,0,1,0,1,1,0,247,2818.7493
4954,23,1.0,44.647896,41.555843,3.0,9,25.0,1977,0.07577875,B,B,6,1437,3,,0,2,B,123749.81,0,1,0,1,0,1,565,2284.1086
14109,62,1.0,47.57728,43.12351,3.0,6,1.0,1977,0.072157584,B,B,2,629,1,,0,0,A,128813.57,0,1,0,1,1,0,247,2818.7493
14258,44,2.0,44.511406,29.847462,5.0,6,5.0,1960,0.12219048,B,B,25,4724,2,1308.0,1,3,B,189407.28,0,1,0,1,0,1,104,4572.484
15848,23,3.0,70.21458,49.364086,9.0,3,1.0,2017,0.005767451,B,B,1,388,0,,0,0,B,111389.484,0,1,0,1,0,1,565,2284.1086
16779,27,3.0,51.991066,10.0,3.0,22,25.0,1977,0.072157584,B,B,2,629,1,,0,0,A,174687.56,0,1,0,1,1,0,851,2766.0232
15585,85,1.0,44.038525,40.435806,3.0,15,22.0,1982,0.03717782,B,B,52,11217,1,2300.0,1,7,B,202321.23,0,1,0,1,0,1,76,4134.228
3522,6,1.0,66.41984,10.0,3.0,2,1.0,1977,0.24320452,B,B,5,1564,0,540.0,0,0,B,193361.23,0,1,0,1,0,1,511,2905.763
4263,27,1.0,54.25519,51.13522,3.0,5,3.0,2017,0.072157584,B,B,2,629,1,,0,0,A,147040.22,0,1,0,1,1,0,851,2766.0232
14264,119,2.0,45.22269,33.485943,5.0,6,9.0,1968,0.000995363,B,B,42,7651,1,,1,5,B,186508.2,0,1,0,1,0,1,49,4169.5503
658,99,2.0,47.018063,28.628675,6.0,7,9.0,1971,0.012338886,B,B,35,5776,1,2078.0,2,4,B,218392.94,0,1,0,1,0,1,97,3938.3296
6635,96,2.0,57.639168,34.883125,8.0,3,9.0,1999,0.041116353,B,B,53,14892,4,,1,4,B,144400.25,0,1,0,1,0,1,71,3987.2205
14805,41,2.0,54.477867,33.348484,8.0,7,12.0,1983,6.99893e-05,B,B,46,10309,1,240.0,1,16,B,224277.83,0,1,0,1,0,1,87,4293.4805
